Moved .gitignore to  - 09/25/2025 21:41:46
Moved analyze_log.py to  - 09/25/2025 21:41:47
Moved cleanup_script.zip to  - 09/25/2025 21:41:47
Moved coding_log.txt to Docs - 09/25/2025 21:41:47
Moved FileOrganizer.log to Docs - 09/25/2025 21:41:47
Moved FileOrganizer.ps1 to Scripts - 09/25/2025 21:41:47
Moved FileOrganizer_backup.log to Scripts - 09/25/2025 21:41:47
Moved GigBooster.ps1 to Scripts - 09/25/2025 21:41:47
Moved gigs.txt to Docs - 09/25/2025 21:41:47
Moved gig_description.txt to Docs - 09/25/2025 21:41:47
Moved image11.jpg to Images - 09/25/2025 21:41:47
Moved image15.jpg to Images - 09/25/2025 21:41:47
Moved image4.jpg to Images - 09/25/2025 21:41:47
Moved image7.jpg to Images - 09/25/2025 21:41:47
Moved image8.jpg to Images - 09/25/2025 21:41:47
Moved image9.jpg to Images - 09/25/2025 21:41:47
Moved organized_files.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250922_231402.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250922_233509.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250922_233947.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_001248.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_002238.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_003054.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_003645.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_131519.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_132320.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_132818.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_133551.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_134056.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_134234.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_141749.zip to Images - 09/25/2025 21:41:47
Moved organized_files_20250923_143504.zip to Images - 09/25/2025 21:41:47
Moved proposal_.txt to Docs - 09/25/2025 21:41:47
Moved proposal_Elliot.txt to Docs - 09/25/2025 21:41:47
Moved quantum_circuit.py to Docs - 09/25/2025 21:41:47
Moved quantum_output.txt to Docs - 09/25/2025 21:41:47
Moved README.txt to Docs - 09/25/2025 21:41:47
Moved sample11.pdf to Docs - 09/25/2025 21:41:47
Moved sample15.pdf to Docs - 09/25/2025 21:41:47
Moved sample4.pdf to Docs - 09/25/2025 21:41:47
Moved sample7.pdf to Docs - 09/25/2025 21:41:47
Moved sample8.pdf to Docs - 09/25/2025 21:41:47
Moved sample9.pdf to Docs - 09/25/2025 21:41:47
Moved scrape_gigs.py to Docs - 09/25/2025 21:41:47
Moved temporal_log.txt to Docs - 09/25/2025 21:41:47
Moved test11.txt to Docs - 09/25/2025 21:41:47
Moved test15.txt to Docs - 09/25/2025 21:41:47
Moved test4.txt to Docs - 09/25/2025 21:41:47
Moved test7.txt to Docs - 09/25/2025 21:41:47
Moved test8.txt to Docs - 09/25/2025 21:41:47
Moved test9.txt to Docs - 09/25/2025 21:41:47
Moved TimeMachine.ps1 to Scripts - 09/25/2025 21:41:47
Moved upwork_bio.txt to Docs - 09/25/2025 21:41:47
